,0
0,3
1,3
2,3
3,2
4,4
5,3
6,4
7,3
8,3
9,3
10,3
11,3
12,5
13,3
14,2
15,4
16,3
17,2
18,3
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,2
27,4
28,4
29,4
30,4
31,4
32,3
33,5
34,4
35,4
36,2
37,3
38,5
39,3
40,3
41,2
42,3
43,3
44,2
45,3
46,3
47,2
48,4
49,4
50,2
51,2
52,3
53,3
54,3
55,4
56,3
57,2
58,4
59,3
60,4
61,2
62,4
63,4
64,5
65,4
66,4
67,3
68,4
69,3
70,2
71,2
72,3
73,4
74,2
75,4
76,3
77,2
78,3
79,3
80,4
81,2
82,2
83,5
84,2
85,3
86,3
87,4
88,5
89,3
90,4
91,2
92,3
93,3
94,3
95,2
96,3
97,4
98,4
99,5
100,4
101,3
102,3
103,4
104,4
105,4
106,5
107,4
108,3
109,4
110,3
111,3
112,3
113,3
114,4
115,4
116,2
117,4
118,3
119,3
120,3
121,3
122,4
123,3
124,1
125,4
126,3
127,3
128,4
129,5
130,4
131,3
132,4
133,2
134,2
135,4
136,5
137,2
138,4
139,2
140,2
141,4
142,3
143,3
144,3
145,4
146,4
147,2
148,2
149,4
150,4
151,3
152,3
153,5
154,4
155,5
156,2
157,3
158,4
159,2
160,4
161,4
162,2
163,5
164,4
165,2
166,3
167,3
168,4
169,4
170,3
171,4
172,2
173,1
174,1
175,3
176,1
177,3
178,4
179,3
180,3
181,3
182,3
183,2
184,3
185,4
186,3
187,5
188,2
189,3
190,2
191,3
192,2
193,3
194,3
195,2
196,4
197,3
198,3
199,4
200,2
201,4
202,3
203,4
204,2
205,4
206,5
207,3
208,5
209,3
210,2
211,2
212,3
213,4
214,3
215,2
216,3
217,3
218,4
219,4
220,5
221,4
222,2
223,2
224,4
225,2
226,3
227,3
228,2
229,2
230,4
231,2
232,3
233,4
234,3
235,3
236,2
237,5
238,2
239,1
240,2
241,4
242,4
243,4
244,2
245,4
246,2
247,2
248,4
249,2
250,4
251,4
252,3
253,3
254,4
255,4
256,3
257,2
258,4
259,3
260,3
261,3
262,5
263,2
264,2
265,3
266,3
267,4
268,4
269,3
270,3
271,3
272,1
273,4
274,5
275,3
276,3
277,3
278,4
279,3
280,1
281,3
282,4
283,3
284,3
285,3
286,5
287,2
288,3
289,3
290,2
291,3
292,2
293,2
294,2
295,3
296,3
297,3
298,4
299,3
300,4
301,3
302,1
303,4
304,3
305,3
306,5
307,3
308,1
309,2
310,4
311,4
312,2
313,3
314,4
315,4
316,3
317,4
318,2
319,4
320,4
321,4
322,4
323,4
324,4
325,3
326,3
327,2
328,2
329,2
330,3
331,2
332,4
333,3
334,3
335,4
336,5
337,4
338,4
339,3
340,4
341,4
342,3
343,3
344,2
345,2
346,3
347,4
348,3
349,5
350,4
351,2
352,3
353,3
354,1
355,3
356,4
357,2
358,3
359,3
360,4
361,2
362,4
363,3
364,4
365,4
366,4
367,3
368,3
369,3
370,4
371,4
372,4
373,4
374,4
375,3
376,3
377,3
378,3
379,3
380,4
381,2
382,3
383,4
384,3
385,4
386,4
387,4
388,3
389,2
390,4
391,4
392,3
393,3
394,3
395,3
396,2
397,4
398,3
399,3
400,5
401,2
402,3
403,4
404,1
405,3
406,3
407,4
408,4
409,3
410,3
411,5
412,3
413,4
414,3
415,3
416,3
417,4
418,4
419,3
420,3
421,4
422,2
423,3
424,3
425,4
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,5
434,4
435,3
436,4
437,3
438,5
439,3
440,4
441,5
442,3
443,5
444,4
445,3
446,3
447,3
448,2
449,3
450,3
451,3
452,4
453,3
454,4
455,3
456,2
457,5
458,3
459,4
460,3
461,2
462,3
463,4
464,4
465,5
466,4
467,2
468,4
469,3
470,5
471,3
472,5
473,3
474,3
475,2
476,3
477,2
478,4
479,4
480,3
481,4
482,5
483,2
484,3
485,3
486,3
487,3
488,3
489,3
490,2
491,4
492,2
493,4
494,3
495,4
496,3
497,2
498,2
499,2
500,4
501,3
502,4
503,4
504,4
505,1
506,2
507,4
508,4
509,3
510,3
511,4
512,4
513,4
514,4
515,3
516,4
517,4
518,3
519,3
520,2
521,4
522,3
523,3
524,2
525,4
526,3
527,5
528,2
529,3
530,3
531,3
532,3
533,4
534,4
535,3
536,4
537,5
538,3
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,5
547,3
548,3
549,3
550,5
551,3
552,5
553,3
554,4
555,4
556,3
557,3
558,4
559,3
560,2
561,3
562,4
563,3
564,4
565,3
566,1
567,3
568,4
569,4
570,2
571,4
572,2
573,2
574,4
575,3
576,2
577,3
578,3
579,4
580,4
581,4
582,3
583,2
584,4
585,4
586,3
587,3
588,5
589,3
590,4
591,4
592,3
593,3
594,3
595,2
596,2
597,4
598,3
599,4
600,3
601,5
602,4
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,2
611,3
612,3
613,2
614,3
615,2
616,4
617,3
618,3
619,1
620,4
621,4
622,4
623,3
624,2
625,3
626,4
627,4
628,3
629,3
630,4
631,3
632,2
633,3
634,5
635,2
636,4
637,5
638,5
639,5
640,4
641,3
642,4
643,2
644,5
645,3
646,3
647,5
648,3
649,5
650,3
651,2
652,3
653,3
654,4
655,3
656,3
657,3
658,2
659,3
660,3
661,3
662,4
663,4
664,1
665,3
666,3
667,3
668,4
669,4
670,5
671,4
672,2
673,4
674,2
675,4
676,2
677,2
678,4
679,3
680,2
681,2
682,4
683,3
684,4
685,4
686,3
687,2
688,3
689,3
690,4
691,3
692,3
693,3
694,2
695,2
696,5
697,3
698,2
699,4
700,3
701,3
702,1
703,3
704,3
705,5
706,3
707,3
708,4
709,3
710,3
711,3
712,3
713,4
714,3
715,1
716,3
717,3
718,4
719,2
720,3
721,3
722,2
723,3
724,4
725,3
726,4
727,3
728,3
729,4
730,5
731,3
732,3
733,4
734,2
735,2
736,4
737,4
738,3
739,4
740,3
741,4
742,4
743,2
744,4
745,3
746,3
747,4
748,3
749,4
750,4
751,3
752,4
753,3
754,4
755,5
756,4
757,4
758,3
759,3
760,3
761,3
762,2
763,4
764,3
765,4
766,4
767,3
768,4
769,4
770,3
771,4
772,3
773,2
774,3
775,3
776,3
777,3
778,4
779,2
780,4
781,4
782,3
783,5
784,4
785,2
786,3
787,2
788,4
789,4
790,4
791,2
792,2
793,4
794,4
795,3
796,3
797,4
798,2
799,4
800,4
801,3
802,3
803,3
804,3
805,4
806,2
807,4
808,2
809,4
810,4
811,4
812,3
813,4
814,3
815,4
816,2
817,5
818,4
819,2
820,2
821,1
822,4
823,2
824,2
825,2
826,4
827,2
828,5
829,3
830,4
831,4
832,2
833,3
834,4
835,3
836,4
837,2
838,2
839,2
840,4
841,4
842,5
843,3
844,4
845,3
846,3
847,1
848,4
849,3
850,3
851,4
852,4
853,3
854,4
855,3
856,5
857,4
858,3
859,4
860,5
861,2
862,4
863,3
864,4
865,4
866,3
867,4
868,3
869,3
870,3
871,3
872,2
873,4
874,4
875,3
876,5
877,2
878,4
879,5
880,2
881,4
