,0
0,4
1,2
2,4
3,4
4,4
5,2
6,2
7,3
8,3
9,2
10,4
11,5
12,2
13,4
14,3
15,4
16,2
17,5
18,5
19,4
20,4
21,4
22,2
23,4
24,3
25,3
26,2
27,3
28,4
29,4
30,3
31,2
32,4
33,3
34,3
35,3
36,2
37,4
38,4
39,3
40,4
41,4
42,3
43,2
44,2
45,3
46,4
47,4
48,3
49,3
50,3
51,4
52,4
53,4
54,4
55,3
56,4
57,4
58,3
59,5
60,3
61,4
62,4
63,2
64,2
65,2
66,2
67,3
68,5
69,2
70,3
71,3
72,4
73,5
74,3
75,2
76,2
77,5
78,2
79,4
80,2
81,4
82,2
83,2
84,2
85,2
86,2
87,2
88,4
89,4
90,3
91,2
92,3
93,3
94,3
95,4
96,3
97,4
98,4
99,4
100,4
101,3
102,3
103,4
104,4
105,2
106,2
107,3
108,4
109,2
110,3
111,4
112,3
113,3
114,4
115,2
116,3
117,4
118,1
119,4
120,4
121,4
122,5
123,3
124,2
125,3
126,5
127,3
128,4
129,4
130,4
131,4
132,3
133,5
134,3
135,3
136,3
137,3
138,4
139,4
140,4
141,3
142,2
143,3
144,3
145,3
146,2
147,4
148,3
149,3
150,4
151,2
152,2
153,4
154,2
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,4
163,3
164,3
165,3
166,3
167,4
168,4
169,5
170,3
171,4
172,2
173,2
174,4
175,4
176,4
177,3
178,3
179,4
180,3
181,2
182,3
183,4
184,2
185,4
186,4
187,2
188,2
189,3
190,5
191,4
192,4
193,3
194,2
195,4
196,3
197,3
198,3
199,4
200,3
201,4
202,2
203,4
204,3
205,4
206,4
207,3
208,3
209,4
210,2
211,5
212,2
213,4
214,5
215,5
216,2
217,4
218,4
219,2
220,2
221,3
222,3
223,2
224,3
225,3
226,3
227,4
228,4
229,4
230,3
231,4
232,4
233,3
234,2
235,4
236,3
237,2
238,3
239,5
240,2
241,2
242,4
243,2
244,3
245,2
246,2
247,5
248,4
249,4
250,3
251,4
252,2
253,4
254,4
255,4
256,3
257,4
258,2
259,4
260,2
261,3
262,2
263,2
264,3
265,3
266,2
267,4
268,3
269,3
270,5
271,3
272,5
273,4
274,3
275,4
276,3
277,5
278,3
279,3
280,3
281,4
282,3
283,2
284,4
285,4
286,4
287,4
288,4
289,2
290,4
291,2
292,1
293,2
294,1
295,4
296,2
297,4
298,3
299,4
300,3
301,3
302,4
303,3
304,3
305,2
306,3
307,4
308,4
309,2
310,3
311,2
312,4
313,3
314,1
315,4
316,3
317,3
318,3
319,2
320,4
321,3
322,3
323,4
324,4
325,3
326,4
327,4
328,5
329,3
330,3
331,4
332,4
333,5
334,2
335,3
336,2
337,3
338,3
339,3
340,4
341,3
342,4
343,5
344,3
345,4
346,3
347,3
348,3
349,2
350,4
351,2
352,3
353,3
354,1
355,4
356,3
357,3
358,3
359,4
360,4
361,3
362,3
363,4
364,4
365,3
366,3
367,3
368,4
369,2
370,4
371,2
372,3
373,3
374,2
375,4
376,3
377,4
378,5
379,3
380,3
381,4
382,2
383,3
384,4
385,3
386,4
387,4
388,2
389,4
390,4
391,3
392,4
393,4
394,5
395,5
396,3
397,4
398,2
399,3
400,4
401,4
402,2
403,4
404,3
405,2
406,2
407,2
408,4
409,2
410,2
411,2
412,2
413,2
414,3
415,3
416,3
417,4
418,5
419,4
420,4
421,3
422,3
423,2
424,4
425,3
426,4
427,3
428,2
429,3
430,2
431,3
432,4
433,2
434,2
435,2
436,2
437,2
438,4
439,4
440,4
441,4
442,4
443,2
444,3
445,4
446,3
447,2
448,3
449,3
450,4
451,4
452,3
453,4
454,2
455,4
456,4
457,3
458,2
459,3
460,3
461,2
462,4
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,4
471,5
472,3
473,3
474,3
475,4
476,3
477,3
478,3
479,3
480,2
481,3
482,2
483,4
484,4
485,4
486,4
487,4
488,3
489,4
490,3
491,3
492,2
493,3
494,4
495,2
496,2
497,3
498,5
499,3
500,4
501,3
502,4
503,2
504,4
505,4
506,4
507,4
508,3
509,3
510,2
511,4
512,4
513,4
514,3
515,2
516,5
517,4
518,4
519,4
520,2
521,2
522,2
523,4
524,3
525,4
526,2
527,4
528,3
529,4
530,2
531,2
532,4
533,5
534,4
535,4
536,3
537,4
538,5
539,4
540,4
541,4
542,3
543,3
544,3
545,4
546,4
547,5
548,3
549,3
550,4
551,4
552,3
553,3
554,2
555,5
556,4
557,3
558,3
559,2
560,3
561,3
562,4
563,2
564,4
565,3
566,5
567,3
568,3
569,3
570,3
571,3
572,2
573,1
574,2
575,3
576,4
577,3
578,3
579,4
580,2
581,3
582,4
583,2
584,1
585,4
586,4
587,2
588,3
589,5
590,4
591,4
592,3
593,2
594,1
595,4
596,4
597,3
598,3
599,4
600,2
601,5
602,5
603,3
604,4
605,3
606,2
607,1
608,3
609,5
610,2
611,3
612,2
613,3
614,4
615,1
616,3
617,3
618,2
619,5
620,4
621,3
622,3
623,4
624,4
625,3
626,4
627,4
628,4
629,5
630,2
631,2
632,5
633,4
634,5
635,3
636,4
637,5
638,4
639,5
640,4
641,3
642,3
643,3
644,2
645,2
646,4
647,3
648,3
649,3
650,3
651,3
652,4
653,3
654,4
655,5
656,2
657,3
658,4
659,5
660,4
661,2
662,4
663,3
664,2
665,2
666,5
667,4
668,4
669,2
670,2
671,4
672,4
673,4
674,4
675,4
676,4
677,3
678,2
679,3
680,5
681,3
682,4
683,4
684,4
685,3
686,4
687,4
688,3
689,3
690,2
691,3
692,2
693,2
694,3
695,4
696,4
697,2
