,0
0,3
1,4
2,3
3,3
4,2
5,2
6,4
7,3
8,4
9,2
10,5
11,4
12,2
13,4
14,3
15,5
16,2
17,2
18,3
19,3
20,3
21,3
22,1
23,4
24,2
25,3
26,3
27,3
28,5
29,2
30,2
31,5
32,3
33,2
34,2
35,2
36,5
37,3
38,2
39,2
40,2
41,1
42,5
43,3
44,3
45,2
46,4
47,3
48,4
49,4
50,3
51,2
52,4
53,4
54,4
55,3
56,3
57,3
58,4
59,3
60,1
61,3
62,3
63,4
64,3
65,3
66,4
67,3
68,4
69,3
70,3
71,4
72,3
73,4
74,3
75,2
76,1
77,3
78,2
79,2
80,4
81,3
82,2
83,2
84,4
85,2
86,3
87,4
88,1
89,4
90,4
91,4
92,4
93,3
94,3
95,3
96,2
97,4
98,2
99,4
100,3
101,3
102,5
103,1
104,4
105,4
106,3
107,2
108,2
109,1
110,3
111,2
112,3
113,4
114,3
115,4
116,2
117,3
118,2
119,4
120,3
121,2
122,4
123,5
124,3
125,4
126,3
127,3
128,3
129,3
130,3
131,4
132,5
133,3
134,4
135,4
136,4
137,2
138,1
139,5
140,2
141,4
142,5
143,3
144,4
145,3
146,4
147,4
148,4
149,3
150,2
151,2
152,5
153,4
154,3
155,2
156,4
157,4
158,2
159,2
160,2
161,3
162,4
163,3
164,3
165,3
166,2
167,4
168,4
169,2
170,3
171,4
172,4
173,2
174,2
175,4
176,2
177,3
178,3
179,2
180,5
181,3
182,3
183,4
184,5
185,3
186,3
187,2
188,4
189,4
190,3
191,3
192,4
193,4
194,4
195,3
196,3
197,3
198,4
199,3
200,2
201,2
202,2
203,4
204,5
205,3
206,2
207,3
208,3
209,2
210,3
211,3
212,4
213,3
214,3
215,1
216,2
217,4
218,3
219,2
220,3
221,3
222,3
223,5
224,3
225,2
226,3
227,3
228,2
229,2
230,4
231,4
232,3
233,2
234,3
235,4
236,3
237,2
238,4
239,3
240,4
241,3
242,3
243,3
244,4
245,3
246,2
247,5
248,4
249,2
250,3
251,2
252,4
253,2
254,3
255,2
256,4
257,3
258,4
259,4
260,2
261,4
262,3
263,3
264,2
265,3
266,3
267,2
268,4
269,4
270,2
271,3
272,2
273,3
274,3
275,2
276,3
277,5
278,4
279,2
280,5
281,4
282,2
283,4
284,4
285,3
286,1
287,3
288,5
289,3
290,4
291,2
292,4
293,4
294,3
295,4
296,5
297,2
298,2
299,4
300,3
301,3
302,2
303,4
304,3
305,2
306,4
307,4
308,5
309,3
310,3
311,4
312,2
313,4
314,4
315,4
316,3
317,3
318,3
319,3
320,5
321,2
322,3
323,4
324,3
325,4
326,3
327,3
328,4
329,2
330,4
331,4
332,2
333,3
334,4
335,3
336,4
337,3
338,3
339,4
340,3
341,4
342,4
343,2
344,2
345,2
346,5
347,5
348,4
349,4
350,3
351,4
352,5
353,3
354,4
355,2
356,3
357,2
358,4
359,4
360,3
361,4
362,3
363,3
364,3
365,2
366,4
367,4
368,4
369,2
370,2
371,4
372,3
373,5
374,4
375,2
376,4
377,3
378,3
379,2
380,4
381,4
382,3
383,2
384,3
385,2
386,4
387,3
388,3
389,3
390,3
391,3
392,1
393,5
394,4
395,3
396,3
397,3
398,2
399,3
400,4
401,3
402,4
403,4
404,4
405,3
406,2
407,4
408,2
409,5
410,3
411,4
412,4
413,2
414,2
415,4
416,4
417,5
418,4
419,4
420,2
421,3
422,3
423,4
424,4
425,3
426,3
427,4
428,3
429,4
430,4
431,3
432,3
433,2
434,2
435,2
436,4
437,3
438,2
439,2
440,4
441,4
442,3
443,2
444,4
445,3
446,3
447,5
448,3
449,4
450,4
451,2
452,3
453,3
454,3
455,2
456,3
457,4
458,2
459,4
460,4
461,2
462,1
463,2
464,2
465,3
466,4
467,2
468,4
469,3
470,5
471,4
472,4
473,4
474,3
475,3
476,1
477,3
478,3
479,4
480,4
481,3
482,4
483,3
484,4
485,3
486,3
487,4
488,2
489,4
490,3
491,3
492,2
493,2
494,3
495,3
496,5
497,2
498,3
499,3
500,3
501,2
502,4
503,3
504,3
505,3
506,3
507,3
508,2
509,3
510,3
511,4
512,3
513,2
514,5
515,4
516,4
517,2
518,5
519,4
520,3
521,4
522,2
523,3
524,4
525,2
526,4
527,2
528,2
529,2
530,3
531,3
532,4
533,4
534,2
535,4
536,3
537,4
538,4
539,2
540,4
541,2
542,2
543,3
544,3
545,3
546,4
547,3
548,5
549,3
550,3
551,3
552,4
553,3
554,3
555,2
556,4
557,4
558,2
559,3
560,4
561,2
562,3
563,2
564,2
565,4
566,3
567,2
568,3
569,3
570,2
571,3
572,3
573,2
574,3
575,3
576,4
577,3
578,4
579,4
580,4
581,4
582,2
583,2
584,3
585,5
586,2
587,3
588,3
589,3
590,2
591,3
592,3
593,3
594,3
595,4
596,3
597,3
598,2
599,3
600,4
601,4
602,4
603,3
604,3
605,3
606,4
607,2
608,3
609,3
610,3
611,3
612,4
613,3
614,5
615,4
616,4
617,5
618,2
619,4
620,3
621,4
622,3
623,4
624,4
625,2
626,2
627,5
628,4
629,4
630,4
631,5
632,4
633,2
634,4
635,4
636,2
637,4
638,3
639,4
640,3
641,3
642,4
643,2
644,2
645,3
646,2
647,4
648,5
649,5
650,5
651,2
652,4
653,3
654,3
655,2
656,3
657,3
658,3
659,2
660,2
661,4
662,4
663,4
664,2
665,4
666,3
667,2
668,2
669,2
670,4
671,2
672,3
673,4
674,3
675,3
676,3
677,4
678,5
679,3
680,3
681,2
682,4
683,4
684,3
685,2
686,3
687,3
688,2
689,3
690,3
691,2
692,4
693,2
694,4
695,4
696,5
697,2
698,4
699,3
700,4
701,4
702,3
703,2
704,4
705,4
706,4
707,3
708,2
709,3
710,4
711,5
712,4
713,4
714,2
715,3
716,4
717,3
718,4
719,3
720,4
721,3
722,3
723,3
724,2
725,3
726,3
727,3
728,3
729,3
730,4
731,1
732,2
733,5
734,4
735,2
736,2
737,3
738,2
739,2
740,3
741,3
742,3
743,2
744,4
745,3
746,3
747,4
748,5
749,2
750,4
751,4
752,2
753,3
754,4
755,5
756,3
757,3
758,3
759,3
760,2
761,3
762,3
763,2
764,3
765,2
766,3
767,3
768,4
769,3
770,4
771,4
772,3
773,5
774,2
775,2
776,3
777,3
778,4
779,2
780,3
781,3
782,4
783,4
784,3
785,4
786,4
787,3
788,2
789,3
790,3
791,3
792,4
793,3
794,4
795,4
796,2
797,3
798,4
799,5
800,5
801,3
802,4
803,2
804,3
805,4
806,4
807,3
808,3
809,2
810,4
811,2
812,3
813,2
814,3
815,3
816,4
817,3
818,3
819,3
820,5
821,2
822,3
823,3
824,4
825,4
826,3
827,2
828,3
829,3
830,3
831,4
832,3
833,3
834,1
835,4
836,3
837,2
838,3
839,4
840,5
841,4
842,2
843,3
844,2
845,4
846,4
847,3
848,2
849,3
850,3
851,3
852,4
853,2
854,4
855,4
856,2
857,3
858,3
859,4
860,3
861,4
862,1
863,3
864,3
865,4
866,4
867,2
868,2
869,2
870,4
871,5
872,3
873,4
874,4
875,2
876,3
877,4
878,3
879,2
880,2
881,3
882,3
883,3
884,4
885,4
886,1
887,3
888,2
889,4
890,3
891,4
892,3
893,3
894,2
895,3
896,2
897,5
898,3
899,3
900,4
901,4
902,5
903,4
904,3
905,2
906,4
907,2
908,2
909,4
910,4
911,4
912,3
913,3
914,3
915,1
916,5
917,4
918,4
919,3
920,3
921,4
922,3
923,2
924,3
925,3
926,3
927,2
928,3
929,1
930,3
931,2
932,4
933,2
934,4
935,4
936,4
937,4
938,4
939,3
940,3
941,3
942,3
943,3
944,3
945,3
946,3
947,5
948,3
949,3
950,4
951,3
952,4
953,4
954,4
955,3
956,2
957,2
958,4
959,4
960,5
961,4
962,3
963,3
964,2
965,3
966,2
967,5
968,2
969,3
970,4
971,3
972,3
